地区,2004 年,2005 年,2006 年,2007 年,2008 年,2009 年,2010 年,2011 年,2012 年,2013 年,平均
北京,665.59,570.56,474.4,364.53,314.34,294.82,244.8,211,191.12,150.96,348.21
天津,633.7,597.4,518.92,344.4,306.11,304.11,255.61,207.23,204.23,182.64,355.44
河北,7269.91,6685.91,5945.67,4323.44,3800.05,3538.62,2994.79,2458.45,2397.55,1939.72,4135.41
山西,1638.61,1362.93,1244.11,931.55,862.95,931.24,790.84,571.46,648.55,494.82,947.71
内蒙古,3075.39,3186.73,2998.87,2287.24,2143.49,2161.32,1832.11,1423.85,1466.97,1328.95,2190.49
辽宁,4741.28,4428.8,3923.12,3025.46,2769.06,2980.72,2537.75,1855.46,2017.46,1740.08,3001.92
吉林,3084.06,2805.89,2508.07,1808.55,1657.04,1702.16,1444.04,1050.66,1163.17,1070.71,1829.44
黑龙江,4173.64,3861.47,3499.37,2778.83,2652.61,2999.26,2520.31,1810.77,2023.26,1833.33,2815.28
上海,986.49,955.66,898.95,780.31,710.21,740.67,567.51,399.31,465.28,392.57,689.7
江苏,7792.63,6946.59,6314.03,5105.38,4512.16,4571.38,3795.26,2976.36,3061.66,2687.25,4776.27
浙江,4083.05,3534.83,3137.61,2318.26,2121.43,2112.05,1780.49,1382.78,1406.56,1163.38,2304.04
安徽,6115.29,5170.93,4660.38,3593.42,3193.75,3171.47,2669.33,2199.83,2184.22,1901.88,3486.05
福建,4045.78,3597.28,3093.62,2322.18,2057.91,2118.54,1757.23,1394.34,1457.17,1262.16,2310.62
江西,3762.26,3465.99,3129.75,2590.59,2316.3,2416.68,2039.91,1620.06,1632.21,1444.32,2441.81
山东,11 537.64,10 516.71,9079.26,6855.99,6011.5,5933.25,5050.99,4087.15,4023.45,3246.19,6634.21
河南,9169.43,8619.17,7980.37,6075.44,5433.57,5349.55,4543.35,3713.87,3651.2,3060.47,5759.64
湖北,5821.37,5162.11,4467.53,3469.21,3146.77,3238.8,2733.87,2206.92,2225.83,2012.79,3448.52
湖南,6382.82,5649.51,4973.87,3643.17,3258.32,3357.92,2849.91,2298.9,2271.65,1962.47,3664.85
广东,7210.71,6566.9,5897.06,4749.35,4148.63,4385.27,3590.84,2772.11,2978.87,2554.01,4485.38
广西,4416.87,4113.39,3526.71,2968.14,2570.51,2589.81,2237.63,1798.78,1767.78,1425.73,2741.54
海南,1060.91,955.82,910.23,674.5,612.06,645.61,545.45,426.29,455.63,353.96,664.05
重庆,2190.35,1972.5,1512.83,1261.42,1161.3,1177.6,977.89,789.05,822.42,742.16,1260.75
四川,7175.7,6474.27,5509.3,4156.91,3716.03,3714.56,3160.68,2579.35,2516.73,2248.99,4125.25
贵州,2151.53,1963.33,1703.17,1265.41,1118.96,981.46,824.84,762.7,729.69,660.88,1216.2
云南,3012.02,2739.02,2479.06,1821.48,1715.29,1825.7,1534.59,1213.21,1268.56,1109.93,1871.88
西藏,168.04,151.5,132.92,109.94,109.3,92.52,78.61,62.42,58.72,56.61,102.06
陕西,2452.79,2183.81,1984.95,1609.14,1444.02,1490.38,1261.3,995.56,1023.15,651.93,1509.71
甘肃,1400.29,1303.74,1140.16,897.6,825.53,896.89,751.08,577.49,635.02,502.36,893.02
青海,283.69,274.26,227.93,202.39,173.76,166.93,142.89,118.63,110.57,105.7,180.67
宁夏,533.3,509.88,466.4,392.46,367.37,385.74,324.18,250.64,263.64,202.1,369.57
新疆,1960.96,1859.55,1692.22,1301.63,1179.87,1227.22,1074.6,861.71,852.95,603.41,1261.41
全国,118 996.12,108 186.42,96 030.84,74 028.34,66 410.19,67 502.26,56 912.69,45 076.32,45 975.28,39 092.46,71 821.09
